coverage,k_claims,baseline_accuracy,baseline_risk,baseline_macro_f1,pipeline_answered_claims,pipeline_accuracy,pipeline_risk,pipeline_macro_f1
0.05,25,0.88,0.12,0.4681,25,0.64,0.36,0.4755
0.06,30,0.8333,0.1667,0.4545,30,0.5667,0.4333,0.4222
0.07,35,0.8,0.2,0.4444,35,0.5714,0.4286,0.4173
0.08,40,0.775,0.225,0.4366,40,0.55,0.45,0.4
0.09,45,0.8,0.2,0.4444,45,0.5111,0.4889,0.375
0.1,50,0.8,0.2,0.5265,50,0.52,0.48,0.3763
0.11,55,0.8,0.2,0.6763,55,0.4727,0.5273,0.3487
0.12,60,0.8,0.2,0.7205,60,0.4833,0.5167,0.3943
0.13,65,0.8154,0.1846,0.761,65,0.4923,0.5077,0.3956
0.14,70,0.7857,0.2143,0.7413,70,0.4571,0.5429,0.3703
0.15,75,0.7467,0.2533,0.6984,75,0.44,0.56,0.37
0.16,80,0.7375,0.2625,0.6978,80,0.45,0.55,0.3732
0.17,85,0.7294,0.2706,0.7015,85,0.4471,0.5529,0.3798
0.18,90,0.7222,0.2778,0.699,90,0.4444,0.5556,0.3849
0.19,95,0.7053,0.2947,0.6869,95,0.4632,0.5368,0.4037
0.2,100,0.71,0.29,0.6938,100,0.47,0.53,0.4052
0.21,105,0.6952,0.3048,0.6825,105,0.4762,0.5238,0.4226
0.22,110,0.6909,0.3091,0.678,110,0.4727,0.5273,0.424
0.23,115,0.687,0.313,0.6782,115,0.487,0.513,0.4439
0.24,120,0.6833,0.3167,0.6743,120,0.4833,0.5167,0.4382
0.25,125,0.672,0.328,0.6651,125,0.472,0.528,0.4324
0.26,130,0.6846,0.3154,0.6791,130,0.4692,0.5308,0.4327
0.27,135,0.6815,0.3185,0.6769,135,0.4593,0.5407,0.4226
0.28,140,0.6714,0.3286,0.6681,140,0.4571,0.5429,0.4187
0.29,145,0.6759,0.3241,0.6728,145,0.4483,0.5517,0.4098
0.3,150,0.6667,0.3333,0.6645,150,0.4533,0.5467,0.4199
0.31,155,0.6581,0.3419,0.656,155,0.4645,0.5355,0.4263
0.32,160,0.6625,0.3375,0.6606,160,0.4625,0.5375,0.4267
0.33,165,0.6606,0.3394,0.6591,165,0.4667,0.5333,0.4278
0.34,170,0.6588,0.3412,0.6576,170,0.4588,0.5412,0.4236
0.35,175,0.6629,0.3371,0.6618,175,0.4571,0.5429,0.4272
0.36,180,0.6611,0.3389,0.6606,180,0.4667,0.5333,0.4418
0.37,185,0.6486,0.3514,0.6483,185,0.4595,0.5405,0.4369
0.38,190,0.6526,0.3474,0.6523,190,0.4684,0.5316,0.445
0.39,195,0.6462,0.3538,0.6458,195,0.4615,0.5385,0.4379
0.4,200,0.64,0.36,0.6397,200,0.465,0.535,0.4415
0.41,205,0.639,0.361,0.6388,205,0.4732,0.5268,0.4512
0.42,210,0.6381,0.3619,0.638,210,0.4714,0.5286,0.4483
0.43,215,0.6372,0.3628,0.6368,215,0.4791,0.5209,0.4529
0.44,220,0.6409,0.3591,0.6403,220,0.4864,0.5136,0.4572
0.45,225,0.6444,0.3556,0.6433,225,0.4933,0.5067,0.4636
